title,description
"Data Scientist","Analyze data, build models, and communicate insights using Python and SQL. Work with machine learning algorithms and statistical methods to extract meaningful patterns from large datasets."
"Machine Learning Engineer","Develop ML systems and deploy them into production using TensorFlow or PyTorch. Build and optimize neural networks, handle model training pipelines, and ensure scalability."
"Backend Developer","Design REST APIs, manage databases, and ensure system scalability. Work with server-side technologies, implement authentication, and optimize database queries for performance."
"Frontend Developer","Build responsive UIs using React and modern JavaScript frameworks. Create user-friendly interfaces, implement state management, and ensure cross-browser compatibility."
"AI Research Assistant","Support research with data collection, experimentation, and model evaluation. Work on cutting-edge AI projects, conduct literature reviews, and assist in paper writing."
"Full Stack Developer","Develop both frontend and backend components of web applications. Work with React, Node.js, databases, and deploy applications to cloud platforms."
"DevOps Engineer","Automate deployment pipelines, manage cloud infrastructure, and ensure system reliability. Work with Docker, Kubernetes, CI/CD tools, and monitoring systems."
"Software Engineer","Design, develop, and maintain software applications. Write clean code, participate in code reviews, and collaborate with cross-functional teams."
"Data Engineer","Build data pipelines, manage data warehouses, and ensure data quality. Work with ETL processes, big data technologies, and cloud data platforms."
"Product Manager","Define product vision, gather requirements, and coordinate with engineering teams. Analyze market trends, prioritize features, and ensure successful product launches."
"UI/UX Designer","Create user-centered designs, conduct user research, and prototype interfaces. Work with design tools, collaborate with developers, and ensure excellent user experiences."
"Cloud Architect","Design cloud infrastructure, optimize costs, and ensure scalability. Work with AWS, Azure, or GCP, implement best practices, and guide technical decisions."
"Cybersecurity Analyst","Protect systems from security threats, conduct vulnerability assessments, and implement security measures. Monitor networks, respond to incidents, and ensure compliance."
"Mobile Developer","Develop mobile applications for iOS or Android platforms. Work with Swift, Kotlin, or React Native, implement features, and ensure app performance."
"Database Administrator","Manage databases, optimize queries, and ensure data integrity. Work with SQL and NoSQL databases, implement backups, and monitor performance."
"Business Analyst","Analyze business requirements, create documentation, and bridge communication between stakeholders and technical teams. Conduct data analysis and support decision-making."
"QA Engineer","Design test cases, execute manual and automated tests, and ensure software quality. Work with testing frameworks, report bugs, and collaborate with development teams."
"Technical Writer","Create technical documentation, user guides, and API documentation. Communicate complex technical concepts clearly and maintain documentation standards."
"System Administrator","Manage servers, networks, and IT infrastructure. Install software, monitor systems, troubleshoot issues, and ensure system availability."
"Network Engineer","Design and maintain network infrastructure, configure routers and switches, and ensure network security. Troubleshoot connectivity issues and optimize network performance."

